"","Latitude","Longitude","Place","As","Cr","Zn"
"354",35.57407,-115.9792,"Kingman",9.8,23,74
"355",34.80939,-116.96315,"San Bernardino",13.4,31,66
"356",36.35871,-118.02894,"Fresno",9.1,7,80
"357",35.73582,-117.26202,"Trona",7.5,6,35
"358",36.64973,-117.50384,"Death Valley",8.9,22,91
"359",35.46346,-116.83716,"Trona",6.7,22,68
"360",35.48307,-116.43749,"Trona",9.8,27,80
"361",36.53007,-117.67247,"Death Valley",14.8,41,94
"362",36.3477,-117.64476,"Death Valley",6.2,38,62
"363",35.69795,-116.39405,"Trona",6.8,14,56
"364",35.00916,-116.18971,"Trona",6.2,52,64
"365",35.01415,-117.59982,"Trona",11.7,9,43
"366",37.14282,-117.70688,"Goldfield",9.8,10,47
"367",35.78734,-117.90677,"Trona",3.1,15,77
"368",35.69989,-120.34151,"San Luis Obispo",4,10,28
"369",37.41984,-117.81786,"Goldfield",3.3,13,103
"370",35.18329,-116.38678,"Trona",5.8,14,40
"371",35.38053,-116.15037,"Trona",10.6,36,52
"372",35.77199,-116.09519,"Trona",5.7,11,51
"373",36.73366,-118.37926,"Fresno",2.8,11,69
"374",35.53853,-116.65034,"Trona",5,34,68
"375",37.46224,-117.94693,"Goldfield",1.6,14,68
"376",36.00839,-117.37301,"Death Valley",14.4,15,133
"377",35.94738,-116.27661,"Trona",15.6,4,38
"378",36.2616,-117.42932,"Death Valley",14.9,19,71
"379",36.21886,-117.93005,"Death Valley",12.4,10,31
"380",36.53186,-117.55481,"Death Valley",3,19,67
"381",35.22508,-117.71076,"Trona",7.1,17,66
"382",35.45595,-117.96874,"Trona",2.5,23,55
"383",35.12946,-117.09616,"Trona",4.7,8,44
"384",37.0179,-117.38283,"Goldfield",10.6,25,47
"385",35.22915,-116.7086,"Trona",3.2,18,64
"386",35.2903,-116.60761,"Trona",3.9,16,44
"387",37.2462,-117.80694,"Goldfield",3.4,13,64
"388",36.03329,-117.16861,"Death Valley",15,34,94
"389",36.67566,-117.75767,"Death Valley",22.4,35,84
"390",36.62533,-117.96249,"Death Valley",15,41,167
"391",36.19863,-116.58715,"Death Valley",4.4,26,79
"392",35.89536,-117.21974,"Trona",9.5,31,50
"393",35.3383,-117.94492,"Trona",5.9,10,42
"394",35.53291,-117.52094,"Trona",10.6,257,90
"395",35.57208,-117.96663,"Trona",1.2,5,53
"396",35.90929,-117.05863,"Trona",3.9,63,78
"397",36.20179,-116.76632,"Death Valley",38,49,100
"398",35.02861,-117.70202,"Trona",12.2,19,35
"399",37.20464,-117.67165,"Goldfield",7.4,12,46
"400",36.32521,-116.44248,"Death Valley",10.7,20,59
"401",36.51814,-116.71944,"Death Valley",7.2,25,54
"402",35.18035,-117.03798,"Trona",3.9,14,53
"403",36.28853,-116.29747,"Death Valley",10.7,17,46
"404",36.42342,-117.41344,"Death Valley",7,13,61
"405",36.26307,-117.30041,"Death Valley",41,77,72
"406",35.34795,-117.45765,"Trona",11,15,52
"407",35.63651,-116.08436,"Trona",5.6,15,60
"408",36.10813,-116.25191,"Death Valley",9.8,16,60
"409",35.84767,-116.6004,"Trona",17.1,12,69
"410",35.06173,-116.29314,"Trona",3.7,15,29
"411",36.5107,-117.85053,"Death Valley",27.9,26,76
"412",35.67141,-116.79732,"Trona",8.7,37,87
"413",36.72183,-117.72285,"Death Valley",5.8,21,61
